user_number,datetime,Consommation,cluster
47,2016-09-08 02:07:09,0,1
47,2016-09-08 03:07:09,0,1
47,2016-09-08 04:07:09,0,1
47,2016-09-08 05:07:09,0,1
47,2016-09-08 06:07:09,0,1
47,2016-09-08 07:07:03,23,1
47,2016-09-08 08:07:03,70,1
47,2016-09-08 09:07:03,84,1
47,2016-09-08 10:07:03,85,1
47,2016-09-08 11:07:05,84,1
47,2016-09-08 12:07:05,83,1
47,2016-09-08 13:07:05,84,1
47,2016-09-08 14:07:05,83,1
47,2016-09-08 15:07:02,73,1
47,2016-09-08 16:07:02,0,1
47,2016-09-08 17:07:02,16,1
47,2016-09-08 18:07:02,32,1
47,2016-09-08 19:07:05,0,1
47,2016-09-08 20:07:05,12,1
47,2016-09-08 21:07:05,0,1
47,2016-09-08 22:07:05,57,1
47,2016-09-08 23:07:03,17,1
47,2016-09-09 00:07:03,10,1
47,2016-09-09 01:07:03,0,1
47,2016-09-09 02:07:03,0,1
47,2016-09-09 03:07:03,0,1
47,2016-09-09 04:07:03,0,1
47,2016-09-09 05:07:03,0,1
47,2016-09-09 06:07:03,0,1
47,2016-09-09 07:07:03,24,1
47,2016-09-09 08:07:03,41,1
47,2016-09-09 09:07:03,13,1
47,2016-09-09 10:07:03,0,1
47,2016-09-09 11:07:05,0,1
47,2016-09-09 12:07:05,0,1
47,2016-09-09 13:07:05,0,1
47,2016-09-09 14:07:05,1,1
47,2016-09-09 15:26:40,4,1
47,2016-09-09 16:26:40,0,1
47,2016-09-09 17:26:40,4,1
47,2016-09-09 18:26:40,9,1
47,2016-09-09 19:07:03,19,1
47,2016-09-09 20:07:03,0,1
47,2016-09-09 21:07:03,0,1
47,2016-09-09 22:07:03,0,1
47,2016-09-09 23:08:15,17,1
47,2016-09-10 00:08:15,16,1
47,2016-09-10 01:08:15,7,1
47,2016-09-10 02:08:15,0,1
47,2016-09-10 03:07:04,0,1
47,2016-09-10 04:07:04,0,1
47,2016-09-10 05:07:04,0,1
47,2016-09-10 06:07:04,0,1
47,2016-09-10 07:06:59,0,1
47,2016-09-10 08:06:59,9,1
47,2016-09-10 09:06:59,83,1
47,2016-09-10 10:06:59,28,1
47,2016-09-10 11:07:03,0,1
47,2016-09-10 12:07:03,0,1
47,2016-09-10 13:07:03,0,1
47,2016-09-10 14:07:03,0,1
47,2016-09-10 15:06:58,0,1
47,2016-09-10 16:06:58,0,1
47,2016-09-10 17:06:58,0,1
47,2016-09-10 18:06:58,0,1
47,2016-09-10 19:07:00,0,1
47,2016-09-10 20:07:00,0,1
47,2016-09-10 21:07:00,72,1
47,2016-09-10 22:07:00,91,1
47,2016-09-10 23:07:01,14,1
47,2016-09-11 00:07:01,17,1
47,2016-09-11 01:07:01,7,1
47,2016-09-11 02:07:01,0,1
47,2016-09-11 02:19:33,0,1
47,2016-09-11 03:19:33,0,1
47,2016-09-11 04:19:33,0,1
47,2016-09-11 05:19:33,0,1
47,2016-09-11 07:06:57,0,1
47,2016-09-11 08:06:57,0,1
47,2016-09-11 09:06:57,6,1
47,2016-09-11 10:06:57,36,1
47,2016-09-11 11:06:59,42,1
47,2016-09-11 12:06:59,8,1
47,2016-09-11 13:06:59,6,1
47,2016-09-11 14:06:59,8,1
47,2016-09-11 14:19:29,0,1
47,2016-09-11 15:19:29,0,1
47,2016-09-11 16:19:29,15,1
47,2016-09-11 17:19:29,3,1
47,2016-09-11 19:06:59,15,1
47,2016-09-11 20:06:59,30,1
47,2016-09-11 21:06:59,101,1
47,2016-09-11 22:06:59,100,1
47,2016-09-11 23:07:37,14,1
47,2016-09-12 00:07:37,8,1
47,2016-09-12 01:07:37,0,1
47,2016-09-12 02:07:37,0,1
47,2016-09-12 03:06:57,0,1
47,2016-09-12 04:06:57,0,1
47,2016-09-12 05:06:57,0,1
47,2016-09-12 06:06:57,0,1
47,2016-09-12 07:06:59,14,1
47,2016-09-12 08:06:59,32,1
47,2016-09-12 09:06:59,0,1
47,2016-09-12 10:06:59,69,1
47,2016-09-12 11:06:58,15,1
47,2016-09-12 12:06:58,5,1
47,2016-09-12 13:06:58,2,1
47,2016-09-12 14:06:58,41,1
47,2016-09-12 15:06:54,17,1
47,2016-09-12 16:06:54,25,1
47,2016-09-12 17:06:54,23,1
47,2016-09-12 18:06:54,12,1
47,2016-09-12 19:06:58,17,1
47,2016-09-12 20:06:58,41,1
47,2016-09-12 21:06:58,31,1
47,2016-09-12 22:06:58,67,1
47,2016-09-12 23:06:54,2,1
47,2016-09-13 00:06:54,0,1
47,2016-09-13 01:06:54,0,1
47,2016-09-13 02:06:54,0,1
47,2016-09-13 03:06:56,0,1
47,2016-09-13 04:06:56,0,1
47,2016-09-13 05:06:56,0,1
47,2016-09-13 06:06:56,0,1
47,2016-09-13 07:06:54,0,1
47,2016-09-13 08:06:54,58,1
47,2016-09-13 09:06:54,33,1
47,2016-09-13 10:06:54,84,1
47,2016-09-13 11:06:55,74,1
47,2016-09-13 12:06:55,13,1
47,2016-09-13 13:06:55,30,1
47,2016-09-13 14:06:55,14,1
47,2016-09-13 15:06:53,29,1
47,2016-09-13 16:06:53,21,1
47,2016-09-13 17:06:53,16,1
47,2016-09-13 18:06:53,2,1
47,2016-09-13 19:06:54,33,1
47,2016-09-13 20:06:54,72,1
47,2016-09-13 21:06:54,16,1
47,2016-09-13 22:06:54,77,1
47,2016-09-13 23:06:53,33,1
47,2016-09-14 00:06:53,5,1
47,2016-09-14 01:06:53,0,1
47,2016-09-14 02:06:53,0,1
47,2016-09-14 03:06:53,0,1
47,2016-09-14 04:06:53,0,1
47,2016-09-14 05:06:53,0,1
47,2016-09-14 06:06:53,0,1
47,2016-09-14 07:06:53,8,1
47,2016-09-14 08:06:53,48,1
47,2016-09-14 09:06:53,14,1
47,2016-09-14 10:06:53,24,1
47,2016-09-14 11:06:55,30,1
47,2016-09-14 12:06:55,16,1
47,2016-09-14 13:06:55,3,1
47,2016-09-14 14:06:55,1,1
47,2016-09-14 15:06:51,18,1
47,2016-09-14 16:06:51,2,1
47,2016-09-14 17:06:51,22,1
47,2016-09-14 18:06:51,25,1
47,2016-09-14 19:06:52,53,1
47,2016-09-14 20:06:52,15,1
